z,nz
0.0,0.0
0.03333333333333333,0.0
0.06666666666666667,0.0
0.1,0.005285375929822867
0.13333333333333333,0.14452467049923995
0.16666666666666666,1.2193160322853696
0.2,4.179132733561786
0.23333333333333334,7.437065254665322
0.26666666666666666,8.111408947170284
0.3,5.64828163034951
0.3333333333333333,2.459255613928166
0.36666666666666664,0.6668257767229365
0.4,0.11557592974825683
0.43333333333333335,0.013358154362170568
0.4666666666666667,0.0010792197721551447
0.5,6.38285584044469e-05
0.5333333333333333,2.884605143857297e-06
0.5666666666666667,1.0355583816265053e-07
0.6,3.057187317333516e-09
0.6333333333333333,7.653475340315486e-11
0.6666666666666666,1.669351406819126e-12
0.7,3.2489620059868984e-14
0.7333333333333333,5.761713345055164e-16
0.7666666666666666,9.483357966078453e-18
0.8,1.4722812179638304e-19
0.8333333333333334,2.1867033144912088e-21
0.8666666666666667,3.1459548217932704e-23
0.9,4.432035568926978e-25
0.9333333333333333,6.1727419127528946e-27
0.9666666666666667,8.570271440585368e-29
1.0,1.1948489715683792e-30
1.0333333333333332,1.683413261619585e-32
1.0666666666666667,2.4100683612235984e-34
1.1,3.523030055965976e-36
1.1333333333333333,5.280337162509069e-38
1.1666666666666667,8.143852181211321e-40
1.2,1.296488404658467e-41
1.2333333333333334,2.1361587122850843e-43
1.2666666666666666,3.6509860117625886e-45
1.3,6.485355285407498e-47
1.3333333333333333,1.1992404437495692e-48
1.3666666666666667,2.3115941842662064e-50
1.4,4.6497457751969774e-52
1.4333333333333333,9.76890879442567e-54
1.4666666666666666,2.1451970360310138e-55
1.5,4.926349442247167e-57
1.5333333333333332,1.1835556336734347e-58
1.5666666666666667,2.9755655000190563e-60
1.6,7.829421971675236e-62
1.6333333333333333,2.156190611410656e-63
1.6666666666666667,6.21471178948781e-65
1.7,1.8744603457880878e-66
1.7333333333333334,5.915181355616309e-68
1.7666666666666666,1.9524744388962935e-69
1.8,6.738981018708706e-71
1.8333333333333333,2.4313132634290333e-72
1.8666666666666667,9.165463343403162e-74
1.9,3.6086844811977603e-75
1.9333333333333333,1.4832891208292032e-76
1.9666666666666666,6.36173700054097e-78
2.0,2.8456405560076426e-79
2.033333333333333,1.3268217489037596e-80
2.0666666666666664,6.445265296258718e-82
2.1,3.2600708915689133e-83
2.1333333333333333,1.7160487599858336e-84
2.1666666666666665,9.395150529767944e-86
2.2,5.346903574637196e-87
2.2333333333333334,3.161381439004399e-88
2.2666666666666666,1.9407875321743857e-89
2.3,1.236391465334504e-90
2.3333333333333335,8.168861880150614e-92
2.3666666666666667,5.594303629585405e-93
2.4,3.968825118139256e-94
2.433333333333333,2.9151664897812496e-95
2.466666666666667,2.215675089360544e-96
2.5,1.7415984439046065e-97
2.533333333333333,1.4149773222785511e-98
2.5666666666666664,1.1876082914018534e-99
2.6,1.0291644005958335e-100
2.6333333333333333,9.203487952474996e-102
2.6666666666666665,8.488826487713288e-103
2.7,8.07132503471111e-104
2.7333333333333334,7.907180134635354e-105
2.7666666666666666,7.977355538257468e-106
2.8,8.284017463397376e-107
2.8333333333333335,8.850246940421666e-108
2.8666666666666667,9.722838551261053e-109
2.9,1.0978637758212306e-109
2.933333333333333,1.2735598318728384e-110
2.966666666666667,1.5170748793116109e-111
3.0,1.8548813141063082e-112
3.033333333333333,0.0
3.0666666666666664,0.0
3.1,0.0
3.1333333333333333,0.0
3.1666666666666665,0.0
3.2,0.0
3.2333333333333334,0.0
3.2666666666666666,0.0
3.3,0.0
3.3333333333333335,0.0
3.3666666666666667,0.0
3.4,0.0
3.433333333333333,0.0
3.466666666666667,0.0
3.5,0.0
3.533333333333333,0.0
3.5666666666666664,0.0
3.6,0.0
3.6333333333333333,0.0
3.6666666666666665,0.0
3.6999999999999997,0.0
3.7333333333333334,0.0
3.7666666666666666,0.0
3.8,0.0
3.8333333333333335,0.0
3.8666666666666667,0.0
3.9,0.0
3.933333333333333,0.0
3.966666666666667,0.0
4.0,0.0
